cause,code,year,yearcode,deaths,population,rate,
Cut/Pierce,GRINJ-001,1999,1999,2369,279040168,0.8,
Cut/Pierce,GRINJ-001,2000,2000,2288,281421906,0.8,
Cut/Pierce,GRINJ-001,2001,2001,2532,284968955,0.9,
Cut/Pierce,GRINJ-001,2002,2002,2762,287625193,1,
Cut/Pierce,GRINJ-001,2003,2003,2742,290107933,0.9,
Cut/Pierce,GRINJ-001,2004,2004,2799,292805298,1,
Cut/Pierce,GRINJ-001,2005,2005,2795,295516599,0.9,
Cut/Pierce,GRINJ-001,2006,2006,2831,298379912,0.9,
Cut/Pierce,GRINJ-001,2007,2007,2734,301231207,0.9,
Cut/Pierce,GRINJ-001,2008,2008,2808,304093966,0.9,
Cut/Pierce,GRINJ-001,2009,2009,2688,306771529,0.9,
Cut/Pierce,GRINJ-001,2010,2010,2598,308745538,0.8,
Cut/Pierce,GRINJ-001,2011,2011,2587,311591917,0.8,
Cut/Pierce,GRINJ-001,2012,2012,2648,313914040,0.8,
Cut/Pierce,GRINJ-001,2013,2013,2576,316128839,0.8,
Cut/Pierce,GRINJ-001,2014,2014,2609,318857056,0.8,
Cut/Pierce,GRINJ-001,2015,2015,2531,321418820,0.8,
Cut/Pierce,GRINJ-001,2016,2016,2823,323127513,0.9,
Cut/Pierce,GRINJ-001,2017,2017,2758,325719178,0.8,
Cut/Pierce,GRINJ-001,2018,2018,2790,327167434,0.9,
Cut/Pierce,GRINJ-001,2019,2019,2801,328239523,0.9,
Drowning,GRINJ-002,1999,1999,4153,279040168,1.5,
Drowning,GRINJ-002,2000,2000,4073,281421906,1.4,
Drowning,GRINJ-002,2001,2001,3923,284968955,1.4,
Drowning,GRINJ-002,2002,2002,4146,287625193,1.4,
Drowning,GRINJ-002,2003,2003,3919,290107933,1.4,
Drowning,GRINJ-002,2004,2004,3952,292805298,1.3,
Drowning,GRINJ-002,2005,2005,4248,295516599,1.4,
Drowning,GRINJ-002,2006,2006,4279,298379912,1.4,
Drowning,GRINJ-002,2007,2007,4086,301231207,1.4,
Drowning,GRINJ-002,2008,2008,4251,304093966,1.4,
Drowning,GRINJ-002,2009,2009,4211,306771529,1.4,
Drowning,GRINJ-002,2010,2010,4521,308745538,1.5,
Drowning,GRINJ-002,2011,2011,4245,311591917,1.4,
Drowning,GRINJ-002,2012,2012,4308,313914040,1.4,
Drowning,GRINJ-002,2013,2013,4056,316128839,1.3,
Drowning,GRINJ-002,2014,2014,3995,318857056,1.3,
Drowning,GRINJ-002,2015,2015,4425,321418820,1.4,
Drowning,GRINJ-002,2016,2016,4628,323127513,1.4,
Drowning,GRINJ-002,2017,2017,4508,325719178,1.4,
